Player,Season,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Simon Francis,2019-2020,0,0,16,964,21,64.4,263.8,72.0,1,161,40.2,1,1,3,0.0
Adam Smith,2019-2020,0,1,49,2055,40,183.0,309.6,97.0,3,309,58.8,4,0,7,0.4
Lloyd Kelly,2019-2020,0,0,11,638,15,28.4,73.4,20.0,0,85,12.2,1,0,2,0.1
Diego Rico,2019-2020,0,5,84,2333,38,558.9,596.6,96.0,10,463,125.5,6,0,6,7.3
Jack Simpson,2019-2020,0,0,4,238,6,12.7,33.6,18.0,0,33,6.4,0,0,0,7.8
Callum Wilson,2019-2020,8,6,116,2906,53,391.1,397.4,848.0,8,321,162.6,4,0,9,4.2
Joshua King,2019-2020,6,5,99,2010,37,412.7,435.8,506.0,11,313,135.1,4,0,0,3.3
Dominic Solanke,2019-2020,3,2,69,1637,39,202.5,223.2,569.0,3,177,99.4,1,0,1,0.4
Sam Surridge,2019-2020,0,0,4,25,2,10.6,3.4,24.0,0,3,3.4,0,0,0,0.6
Asmir Begovic,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7
Artur Boruc,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Mark Travers,2019-2020,0,0,1,90,3,0.0,15.2,0.0,0,9,1.5,0,0,0,0.1
Ryan Fraser,2019-2020,1,5,73,2061,34,627.1,355.6,440.0,2,305,141.9,4,0,2,2.4
David Brooks,2019-2020,1,0,21,505,12,100.8,82.2,71.0,1,73,25.4,1,0,1,0.1
Junior Stanislas,2019-2020,3,1,42,706,17,185.4,179.0,241.0,2,155,60.7,1,0,1,0.1
Jordon Ibe,2019-2020,0,0,2,48,1,5.4,6.8,0.0,0,10,1.2,0,0,0,0.1
Lewis Cook,2019-2020,0,1,40,1340,30,183.1,187.8,68.0,0,183,43.8,2,0,5,0.0
Andrew Surman,2019-2020,0,0,6,234,6,25.5,23.6,8.0,0,28,5.6,0,0,1,0.0
Dan Gosling,2019-2020,3,1,54,1254,23,151.9,316.4,259.0,1,186,72.6,2,0,3,0.1
Jefferson Lerma,2019-2020,1,2,65,2702,49,189.4,439.0,169.0,2,376,79.4,4,1,11,0.1
Jack Stacey,2019-2020,0,2,39,1547,27,147.2,308.8,86.0,4,241,54.3,1,0,2,0.1
Philip Billing,2019-2020,1,1,68,2526,41,239.8,545.4,342.0,5,347,112.9,5,0,8,0.2
Arnaut Danjuma Groeneveld,2019-2020,0,1,24,625,12,82.6,60.6,139.0,0,60,27.9,2,0,0,0.0
Aaron Ramsdale,2019-2020,0,1,126,3330,62,24.0,973.8,0.0,13,680,99.7,5,0,0,3.2
Harry Wilson,2019-2020,7,1,91,1637,32,242.1,377.4,667.0,7,295,128.5,2,0,2,1.5
Christian Saydee,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Gavin Kilkenny,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Mihai-Alexandru Dobre,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Shane Duffy,2019-2020,1,0,44,1232,18,29.8,288.0,100.0,1,227,41.8,3,0,2,0.8
MartÃ­n Montoya,2019-2020,0,1,62,1892,32,338.0,337.4,177.0,3,313,85.5,6,0,5,0.5
Bernardo Fernandes da Silva Junior,2019-2020,0,0,21,675,17,72.6,154.0,92.0,3,121,31.9,1,0,1,0.1
Leon Balogun,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
GaÃ«tan Bong,2019-2020,0,0,3,57,3,27.9,16.0,6.0,0,15,5.0,0,0,0,0.1
Lewis Dunk,2019-2020,3,3,128,3230,50,171.8,825.6,469.0,17,674,146.8,9,0,9,12.5
Matthew Clarke,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Glenn Murray,2019-2020,1,1,36,785,10,57.1,74.0,249.0,0,74,37.7,2,0,0,0.7
JÃ¼rgen Locadia,2019-2020,0,0,3,85,1,1.3,3.2,30.0,0,5,3.3,1,0,0,0.1
Florin Andone,2019-2020,1,0,5,71,2,11.3,45.0,21.0,1,20,7.6,0,1,0,0.3
Mathew Ryan,2019-2020,0,0,135,3420,54,0.0,1000.0,0.0,14,754,100.1,9,0,0,11.5
David Button,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,18.2
Pascal GroÃ,2019-2020,2,5,76,1791,32,908.5,388.2,323.0,7,326,161.6,3,0,4,0.4
Alireza Jahanbakhsh,2019-2020,2,1,28,305,4,62.5,90.6,106.0,2,90,25.9,1,0,0,0.1
JosÃ© Heriberto Izquierdo Mena,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Anthony Knockaert,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Yves Bissouma,2019-2020,1,0,39,1253,18,110.6,238.8,101.0,0,207,45.1,4,0,4,0.0
Davy PrÃ¶pper,2019-2020,1,2,78,2826,46,434.1,522.2,271.0,2,441,122.5,6,0,4,0.3
Solomon March,2019-2020,0,1,38,1139,15,239.6,189.4,274.0,3,129,70.4,4,0,2,0.2
Beram Kayal,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Dale Stephens,2019-2020,0,1,63,2525,42,292.8,438.6,90.0,1,406,82.2,6,0,8,1.5
Leandro Trossard,2019-2020,5,5,104,2004,34,585.4,411.4,540.0,9,352,153.2,4,0,0,0.5
Dan Burn,2019-2020,0,0,86,2879,42,311.9,602.8,128.0,3,480,104.2,9,0,5,0.3
Adam Webster,2019-2020,3,1,88,2668,44,153.2,696.6,221.0,7,514,107.3,5,0,4,0.5
Neal Maupay,2019-2020,10,3,131,2763,36,369.2,518.6,1519.0,21,361,240.5,8,0,3,1.8
Aaron Mooy,2019-2020,2,2,80,2079,33,614.9,436.6,291.0,9,337,134.0,6,1,1,0.4
Aaron Connolly,2019-2020,3,3,61,1250,22,91.4,150.6,530.0,5,146,76.0,5,0,0,2.7
Tudor Baluta,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Steven Alzate,2019-2020,0,0,33,1181,18,214.1,202.0,205.0,0,183,62.3,3,0,1,0.1
Ezequiel Schelotto,2019-2020,0,0,9,357,7,12.7,38.4,65.0,0,40,11.4,0,0,2,0.6
Tariq Lamptey,2019-2020,0,1,26,619,8,82.1,91.8,27.0,0,136,20.2,3,0,2,1.5
Alexis Mac Allister,2019-2020,0,0,12,348,6,73.8,28.4,66.0,0,35,16.9,0,0,0,0.0
Alex Cochrane,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Ben Mee,2019-2020,1,2,110,2880,45,105.8,658.8,362.0,6,549,112.9,13,0,7,0.9
James Tarkowski,2019-2020,2,3,143,3420,50,167.1,919.8,410.0,14,690,149.9,15,0,10,9.3
Matthew Lowton,2019-2020,0,1,48,1530,31,181.7,294.2,15.0,1,270,49.2,6,0,2,0.3
Phil Bardsley,2019-2020,0,2,78,1890,19,164.0,350.6,109.0,6,358,62.5,9,0,6,2.1
Charlie Taylor,2019-2020,0,1,84,1944,18,243.0,382.6,19.0,5,375,64.7,10,0,3,2.1
Kevin Long,2019-2020,0,0,21,562,5,1.3,104.8,24.0,0,93,13.0,2,0,0,0.3
Ben Gibson,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.1
Ashley Barnes,2019-2020,6,0,61,1350,21,85.1,226.2,474.0,6,161,75.9,8,0,4,2.1
Chris Wood,2019-2020,14,1,136,2436,33,299.6,552.2,1070.0,21,384,190.8,11,0,1,2.4
Matej Vydra,2019-2020,2,1,39,807,7,113.3,144.2,273.0,3,112,53.3,5,0,0,0.1
Nick Pope,2019-2020,0,0,170,3420,50,30.3,900.0,2.0,23,789,93.1,15,0,1,23.1
Joe Hart,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0
Johann Berg Gudmundsson,2019-2020,1,1,30,617,7,215.4,118.6,108.0,1,98,44.1,3,0,0,0.4
Dwight McNeil,2019-2020,2,7,123,3339,48,931.4,644.2,430.0,6,529,200.6,16,0,5,1.0
Robbie Brady,2019-2020,1,2,32,445,10,102.1,118.6,128.0,0,112,34.9,1,0,1,0.0
Steven Defour,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Jeff Hendrick,2019-2020,2,2,67,1930,30,213.7,269.8,282.0,4,197,76.5,10,0,8,0.1
Ashley Westwood,2019-2020,2,7,118,3150,39,814.2,596.8,135.0,11,567,154.7,15,0,9,0.8
Jack Cork,2019-2020,0,0,70,2614,41,198.2,313.2,311.0,0,301,82.4,12,0,1,0.2
Aaron Lennon,2019-2020,0,0,15,485,15,37.8,45.0,12.0,0,51,9.6,0,0,4,0.1
Erik Pieters,2019-2020,0,5,77,1876,35,273.8,355.4,90.0,10,359,71.6,6,0,2,6.7
Jay Rodriguez,2019-2020,8,2,100,2002,34,135.0,431.4,827.0,9,282,137.8,7,0,1,1.0
Bailey Peacock-Farrell,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Mace Goodridge,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Anthony Driscoll-Glennon,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Abd-Al-Ali Morakinyo Olaposi Koiki,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Josh Brownhill,2019-2020,0,0,21,805,10,58.5,101.2,49.0,0,111,20.8,4,0,2,0.0
Jimmy Dunne,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Bobby Thomas,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Max Thompson,2019-2020,0,0,1,2,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0
Lukas Jensen,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Josh Benson,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Joel Mumbongo,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Marcos Alonso,2019-2020,4,4,100,1429,18,413.4,411.8,420.0,11,395,124.3,7,0,4,3.1
Antonio RÃ¼diger,2019-2020,2,0,63,1710,24,93.3,389.4,194.0,5,351,67.7,5,0,3,0.7
CÃ©sar Azpilicueta,2019-2020,2,6,130,3229,53,708.7,905.2,438.0,16,700,205.4,8,0,1,8.8
Emerson Palmieri dos Santos,2019-2020,0,0,19,1022,21,298.7,207.8,225.0,0,181,73.2,1,0,3,0.7
Andreas Christensen,2019-2020,0,0,34,1751,33,70.9,353.6,96.0,0,325,52.1,3,0,5,0.7
Davide Zappacosta,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Olivier Giroud,2019-2020,8,1,68,988,16,144.8,316.2,598.0,5,253,105.4,6,0,1,3.2
Kepa Arrizabalaga,2019-2020,0,0,90,2970,47,0.0,503.6,0.0,0,507,50.2,8,0,0,4.3
Willy Caballero,2019-2020,0,0,13,450,7,0.0,90.2,0.0,0,74,9.0,1,0,0,0.2
Willian Borges Da Silva,2019-2020,9,9,168,2595,35,1177.7,834.8,930.0,26,698,294.6,10,0,4,10.7
Pedro RodrÃ­guez Ledesma,2019-2020,1,2,32,659,12,227.1,161.4,349.0,1,127,73.8,2,0,1,1.1
Ruben Loftus-Cheek,2019-2020,0,1,12,203,3,30.2,30.8,33.0,0,37,9.2,1,0,0,0.1
Callum Hudson-Odoi,2019-2020,1,5,53,849,14,341.4,235.2,325.0,3,197,89.9,2,0,1,0.4
Ross Barkley,2019-2020,1,5,61,1095,14,344.3,266.0,373.0,5,208,98.2,5,0,0,1.6
Jorge Luiz Frello Filho,2019-2020,4,3,92,2376,40,422.4,600.0,158.0,9,535,118.4,6,0,10,2.8
N'Golo KantÃ©,2019-2020,3,0,57,1730,25,424.5,422.8,214.0,2,294,106.3,3,0,4,3.5
Ethan Ampadu,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Christian Pulisic,2019-2020,9,8,127,1717,28,426.0,556.2,1059.0,8,379,204.2,6,0,0,13.0
Mateo Kovacic,2019-2020,1,3,68,2065,37,458.5,497.0,186.0,6,461,114.0,4,0,8,0.9
Kurt Zouma,2019-2020,0,0,62,2343,37,40.1,518.0,162.0,2,432,71.7,7,0,6,1.7
Tammy Abraham,2019-2020,15,6,153,2206,34,283.2,659.6,1301.0,20,461,223.3,7,0,2,14.0
Michy Batshuayi,2019-2020,1,2,28,224,8,42.9,61.8,185.0,1,59,28.3,0,0,0,0.5
Robert Kenedy Nunes do Nascimento,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Mason Mount,2019-2020,7,6,137,2865,44,814.0,641.2,974.0,11,510,242.8,9,0,3,12.7
Reece James,2019-2020,0,2,61,1510,23,428.8,343.6,143.0,5,373,91.8,5,0,1,0.9
Fikayo Tomori,2019-2020,1,0,48,1291,18,68.6,335.4,79.0,7,271,48.5,4,0,3,1.4
Billy Gilmour,2019-2020,0,0,9,191,3,55.3,31.4,5.0,0,41,9.1,1,0,0,0.3
Addji Keaninkin Marc-Israel Guehi,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Faustino Anjorin,2019-2020,0,0,1,19,0,1.2,0.0,9.0,0,1,1.0,0,0,0,0.0
Armando Broja,2019-2020,0,0,1,4,0,0.3,0.0,0.0,0,2,0.0,0,0,0,0.0
Lewis Bate,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Patrick van Aanholt,2019-2020,3,2,109,2507,38,516.0,531.2,285.0,12,523,133.4,8,0,0,4.7
James Tomkins,2019-2020,1,1,48,1582,23,27.7,384.0,121.0,4,260,53.3,3,0,5,0.2
Mamadou Sakho,2019-2020,0,0,11,929,21,15.9,179.2,6.0,0,148,20.2,0,1,1,0.1
Joel Ward,2019-2020,0,1,77,2380,36,117.0,427.0,49.0,8,392,59.5,7,0,4,1.5
Scott Dann,2019-2020,0,1,51,1264,14,58.3,250.2,177.0,3,253,48.6,5,0,0,0.2
Martin Kelly,2019-2020,0,1,64,1547,16,96.5,305.4,15.0,4,288,41.7,6,0,0,14.7
Christian Benteke,2019-2020,2,1,42,1252,18,248.3,231.8,632.0,1,133,110.9,5,1,4,0.5
Connor Wickham,2019-2020,1,1,15,90,2,34.5,59.8,64.0,2,48,15.8,0,0,0,1.8
Vicente Guaita,2019-2020,0,0,137,3150,42,0.0,827.2,0.0,16,643,82.6,10,0,1,1.6
Wayne Hennessey,2019-2020,0,0,7,270,8,0.0,110.4,0.0,0,58,11.0,0,0,0,0.6
Wilfried Zaha,2019-2020,4,6,120,3279,46,588.0,572.0,1103.0,4,337,226.4,9,0,5,8.4
Luka Milivojevic,2019-2020,3,1,81,2510,38,499.1,460.0,190.0,9,382,114.9,7,0,12,1.9
Andros Townsend,2019-2020,1,1,48,1284,23,247.1,246.4,122.0,0,221,61.6,3,0,0,0.9
Max Meyer,2019-2020,0,0,23,645,11,68.9,68.0,103.0,0,67,23.8,1,0,1,0.1
Jeffrey Schlupp,2019-2020,3,1,51,1030,16,101.9,240.0,266.0,4,148,60.8,4,0,2,0.1
James McArthur,2019-2020,0,4,92,3091,38,486.6,586.6,421.0,2,420,149.6,11,0,6,0.6
Cheikhou KouyatÃ©,2019-2020,1,2,85,2524,36,162.3,394.6,279.0,4,288,83.5,10,0,4,0.2
Luke Dreher,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
James McCarthy,2019-2020,0,0,41,1668,29,268.3,268.8,80.0,0,205,61.8,2,0,9,0.9
Jordan Ayew,2019-2020,9,3,132,3148,45,445.6,597.4,885.0,19,443,192.4,12,0,6,7.3
Gary Cahill,2019-2020,0,1,70,2167,35,40.0,448.4,342.0,4,395,83.4,7,0,1,1.2
VÃ­ctor Camarasa,2019-2020,0,0,1,5,0,0.1,0.2,0.0,0,3,0.0,0,0,0,0.1
Jairo Riedewald,2019-2020,0,0,22,761,9,47.1,117.0,27.0,0,116,19.1,0,0,0,0.0
Stephen Henderson,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4
Sam Woods,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3
Tyrick Mitchell,2019-2020,0,0,4,193,4,58.7,36.4,2.0,0,23,9.7,0,0,1,0.1
Brandon Pierrick,2019-2020,0,0,2,13,0,21.0,6.4,2.0,0,7,2.9,0,0,0,0.0
James Daly,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Nya Kirby,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Giovanni McGregor,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Nikola Tavares,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
John-Kymani Gordon,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Alex Iwobi,2019-2020,1,0,52,1591,30,383.7,246.4,329.0,2,227,95.9,4,0,0,0.9
Lucas Digne,2019-2020,0,8,120,3031,49,1112.0,743.0,293.0,16,646,215.0,9,0,6,13.4
Yerry Mina,2019-2020,2,1,78,2281,37,87.2,535.4,422.0,8,419,104.4,5,0,3,1.9
Michael Keane,2019-2020,2,0,90,2556,42,80.0,666.4,204.0,9,490,95.2,7,0,3,2.4
Seamus Coleman,2019-2020,0,1,55,1833,29,149.0,321.2,175.0,2,325,64.6,5,1,3,1.2
Leighton Baines,2019-2020,0,1,14,400,8,123.8,81.8,5.0,0,89,21.2,0,0,0,0.2
Cenk Tosun,2019-2020,2,0,24,462,6,63.4,89.0,229.0,1,86,37.7,2,0,0,0.1
Dominic Calvert-Lewin,2019-2020,13,1,126,2621,43,241.4,562.8,1272.0,15,385,206.3,8,0,9,7.9
Jordan Pickford,2019-2020,0,0,117,3420,56,13.0,755.6,0.0,5,626,76.7,9,0,2,6.3
Maarten Stekelenburg,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,7.2
Richarlison de Andrade,2019-2020,13,5,165,3070,51,478.1,814.6,1233.0,13,519,252.3,9,0,8,9.2
Gylfi Sigurdsson,2019-2020,2,4,95,2555,45,765.1,454.6,484.0,7,397,170.5,6,0,3,2.4
Bernard AnÃ­cio Caldeira Duarte,2019-2020,3,2,72,1269,12,349.1,315.0,236.0,6,237,89.8,9,0,2,0.6
Theo Walcott,2019-2020,2,4,63,1281,19,289.1,225.0,521.0,1,186,103.7,4,0,1,0.4
Tom Davies,2019-2020,1,1,59,2020,34,122.6,270.4,262.0,3,233,65.5,5,0,8,0.1
Ademola Lookman,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Idrissa Gueye,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Morgan Schneiderlin,2019-2020,0,0,18,998,20,78.5,143.2,32.0,0,132,25.5,1,1,4,0.5
Fabian Delph,2019-2020,0,0,24,1187,24,146.7,183.0,24.0,2,202,35.4,2,1,3,0.2
AndrÃ© Filipe Tavares Gomes,2019-2020,0,1,39,1457,20,179.4,156.6,33.0,3,184,36.4,5,0,6,0.3
Lewis Gibson,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Mason Holgate,2019-2020,0,4,71,2052,34,63.9,465.4,152.0,6,412,68.3,5,0,5,1.6
Jonas LÃ¶ssl,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Moise Kean,2019-2020,2,2,53,830,15,136.5,153.6,429.0,5,138,71.1,1,0,1,1.4
Jean-Philippe Gbamin,2019-2020,0,0,4,135,0,6.3,20.0,0.0,0,14,2.6,1,0,0,0.0
Djibril SidibÃ©,2019-2020,0,4,74,1818,30,341.5,463.0,121.0,10,386,92.5,5,0,3,0.7
Beni Baningime,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Anthony Gordon,2019-2020,0,1,17,436,6,98.4,76.0,44.0,1,63,21.8,0,0,0,0.1
Oumar Niasse,2019-2020,0,0,3,19,2,1.8,7.0,0.0,0,1,0.9,0,0,0,0.0
Rhu-endly Martina,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
JoÃ£o Manuel Neves VirgÃ­nia,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Jarrad Branthwaite,2019-2020,0,0,11,299,6,2.2,66.0,0.0,2,69,6.9,1,0,0,0.4
Ellis Simms,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Ricardo Domingos Barbosa Pereira,2019-2020,3,2,123,2520,27,446.5,738.0,235.0,11,568,141.9,10,0,1,7.7
Benjamin Chilwell,2019-2020,3,3,114,2374,26,545.4,546.0,208.0,8,501,130.0,9,0,3,6.3
Jonny Evans,2019-2020,1,2,128,3384,41,131.9,755.2,325.0,12,707,121.4,13,1,7,5.7
Christian Fuchs,2019-2020,0,0,26,770,10,53.5,144.4,20.0,2,139,21.8,2,0,0,0.3
Ãaglar SÃ¶yÃ¼ncÃ¼,2019-2020,1,1,120,3036,35,79.0,755.6,238.0,12,681,107.5,12,1,4,9.3
Wes Morgan,2019-2020,0,0,19,430,6,2.1,85.8,58.0,2,87,14.5,1,0,0,0.6
Jamie Vardy,2019-2020,23,7,210,3032,38,418.4,1026.0,1455.0,34,775,288.8,11,0,3,27.2
Kelechi Iheanacho,2019-2020,5,4,64,953,9,204.2,288.2,603.0,7,204,109.4,3,0,1,0.5
Kasper Schmeichel,2019-2020,0,0,156,3420,41,30.0,863.4,2.0,10,707,89.6,13,0,2,12.8
Eldin Jakupovic,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Danny Ward,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
James Maddison,2019-2020,6,5,125,2624,26,1246.4,642.4,702.0,14,548,259.2,10,0,4,12.1
Harvey Barnes,2019-2020,6,10,133,2075,24,517.4,525.0,893.0,9,394,193.7,9,0,0,2.1
Rachid Ghezzal,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Marc Albrighton,2019-2020,0,3,38,857,11,287.9,190.6,102.0,1,185,58.1,3,0,2,0.2
Demarai Gray,2019-2020,2,4,44,605,6,242.3,205.4,263.0,0,151,70.8,1,0,1,0.3
Wilfred Ndidi,2019-2020,2,1,85,2671,32,254.4,611.6,205.0,5,443,107.2,12,0,6,1.7
Matty James,2019-2020,0,0,1,5,0,0.1,0.4,0.0,0,3,0.1,0,0,0,0.2
Daniel Amartey,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3
Nampalys Mendy,2019-2020,0,0,11,288,3,51.8,57.4,9.0,0,71,11.8,1,0,0,0.8
Hamza Choudhury,2019-2020,1,1,35,883,12,70.0,177.6,83.0,0,153,33.1,3,1,2,0.7
Ayoze PÃ©rez,2019-2020,8,5,129,1998,25,443.9,547.4,779.0,9,402,177.3,9,0,0,5.0
Ryan Bennett,2019-2020,0,0,32,932,17,41.0,161.4,16.0,2,176,21.8,3,0,2,0.3
James Justin,2019-2020,0,1,35,1010,14,195.0,240.6,61.0,0,196,49.6,4,0,1,0.6
Youri Tielemans,2019-2020,3,6,117,2823,35,805.4,566.6,502.0,5,531,187.6,12,0,2,3.7
Andy King,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4
Dennis Praet,2019-2020,1,3,54,1122,17,161.6,196.2,210.0,3,203,56.5,2,0,2,0.1
Filip Benkovic,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Luke Thomas,2019-2020,0,1,15,267,4,149.8,78.4,10.0,3,70,23.9,1,0,0,0.8
George Hirst,2019-2020,0,0,2,9,1,0.6,3.2,25.0,0,3,2.6,0,0,0,0.0
Darnell Johnson,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Andrew Robertson,2019-2020,2,12,181,3111,31,980.2,845.8,389.0,20,847,221.7,13,0,2,18.1
Trent Alexander-Arnold,2019-2020,4,15,210,3173,32,1380.3,1026.8,420.0,24,904,282.8,14,0,5,39.1
Virgil van Dijk,2019-2020,5,2,178,3420,33,152.4,930.2,467.0,14,804,154.8,15,0,1,42.4
Joseph Gomez,2019-2020,0,0,93,1999,16,105.7,390.6,12.0,7,461,50.9,12,0,7,3.9
Joel Matip,2019-2020,1,0,39,703,5,23.0,198.2,39.0,4,167,26.2,3,0,0,1.1
Dejan Lovren,2019-2020,0,1,18,776,11,28.1,196.6,72.0,0,147,29.8,0,0,1,0.2
Roberto Firmino,2019-2020,9,9,155,2985,26,703.0,733.6,1638.0,20,592,307.5,16,0,0,10.1
Divock Origi,2019-2020,4,3,65,699,12,128.8,201.8,222.0,8,230,55.0,2,0,1,2.4
Alisson Ramses Becker,2019-2020,0,1,122,2543,24,10.0,503.0,0.0,11,558,51.5,13,1,0,9.2
Simon Mignolet,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Mohamed Salah,2019-2020,19,10,233,2879,26,834.8,1061.2,2156.0,26,661,405.1,16,0,1,32.4
Sadio ManÃ©,2019-2020,18,10,221,2745,28,826.6,1010.2,1239.0,27,689,307.7,12,0,3,19.7
Alex Oxlade-Chamberlain,2019-2020,4,1,76,1475,12,298.2,300.0,406.0,2,268,99.9,8,0,1,0.6
Xherdan Shaqiri,2019-2020,1,0,15,181,2,51.6,47.8,37.0,0,54,13.7,1,0,0,0.2
Adam Lallana,2019-2020,1,1,27,371,5,68.8,107.2,74.0,1,97,25.1,1,0,1,0.1
Naby Keita,2019-2020,2,3,52,806,8,234.7,281.8,169.0,3,224,68.7,5,0,1,0.3
Fabio Henrique Tavares,2019-2020,2,3,77,2073,26,322.4,431.6,85.0,8,403,84.0,6,0,6,1.2
Jordan Henderson,2019-2020,4,5,116,2234,14,425.9,582.6,275.0,11,530,128.5,16,0,2,1.2
Georginio Wijnaldum,2019-2020,4,0,107,2933,28,344.1,452.8,423.0,5,503,122.0,12,0,0,2.1
James Milner,2019-2020,2,2,49,924,9,177.1,237.2,100.0,3,198,51.4,4,0,4,0.5
Rafael Camacho,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Rhian Brewster,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5
AdriÃ¡n San Miguel del Castillo,2019-2020,0,0,27,873,10,0.0,131.4,0.0,0,136,13.2,2,0,1,2.0
Andy Lonergan,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Caoimhin Kelleher,2019-2020,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
